date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
1998,1.67360166666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1999,1.69495666666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2000,1.72396333333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2001,1.7917225,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2002,1.79058833333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2003,1.74218333333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2004,1.69022833333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2005,1.6643975,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2006,1.58893333333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2007,1.50710166666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2008,1.41716666666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2009,1.4545692733233,B,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2010,1.36350947368421,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2011,1.25791302014692,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2012,1.24956701649958,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2013,1.25116566976059,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2014,1.2670401230814,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2015,1.37491084459887,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2016,1.38134687688286,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2017,1.38089116405281,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2018,1.34891856542537,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2019,1.36421851405475,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2020,1.37970342971399,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2021,1.34380696297339,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2022,1.37895639652216,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2023,1.34307960114934,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
2024,1.33603327650724,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1950,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1951,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1952,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1953,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1954,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1955,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
